*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Sat Mar  9 09:17:53 2024 
|        10 |       518 |  3.78E-02 |  0.874153 |  0.917774 |     25.34 |     20.87 |  0.087884 |  0.063640 |  5.76E-03 |     84.39 | 
|        10 |       592 |  3.73E-02 |  0.902266 |  0.917774 |     25.35 |     20.83 |  0.155569 |  0.111262 |  5.70E-03 |     85.36 | 
|        10 |       666 |  4.14E-02 |  0.917570 |  0.917774 |     25.41 |     20.93 |  0.556968 |  0.418465 |  5.64E-03 |     86.23 | 
|        10 |       740 |  4.32E-02 |  0.897336 |  0.917774 |     25.59 |     21.21 |  0.173700 |  0.126893 |  5.57E-03 |     87.14 | 
|        10 |       814 |  4.28E-02 |  0.892102 |  0.917774 |     25.69 |     21.34 |  0.591819 |  0.475222 |  5.51E-03 |     88.07 | 
|        10 |       823 |  4.28E-02 |  0.893495 |  0.917774 |     25.69 |     21.36 |  0.327346 |  0.239348 |  5.50E-03 |     88.75 | 
|        11 |        74 |  3.31E-02 |  0.886786 |  0.917774 |     26.93 |     22.72 |  0.232083 |  0.171175 |  5.44E-03 |     89.04 | 
|        11 |       148 |  4.98E-02 |  0.911520 |  0.917774 |     26.62 |     22.82 |  0.181270 |  0.138708 |  5.37E-03 |     90.00 | 
|        11 |       222 |  4.61E-02 |  0.905136 |  0.917774 |     26.81 |     23.10 |  0.260881 |  0.194026 |  5.31E-03 |     90.90 | 
|        11 |       296 |  5.52E-02 |  0.870470 |  0.917774 |     26.72 |     23.29 |  0.306643 |  0.221875 |  5.25E-03 |     91.84 | 
|        11 |       370 |  4.99E-02 |  0.864064 |  0.917774 |     26.77 |     23.18 |  0.144945 |  0.106306 |  5.18E-03 |     92.93 | 
|        11 |       444 |  4.65E-02 |  0.866620 |  0.917774 |     26.83 |     23.16 |  0.111904 |  0.083272 |  5.12E-03 |     93.93 | 
|        11 |       518 |  4.45E-02 |  0.859551 |  0.917774 |     26.83 |     23.12 |  0.119909 |  0.086512 |  5.06E-03 |     94.92 | 
|        11 |       592 |  4.30E-02 |  0.885887 |  0.917774 |     26.89 |     23.11 |  0.135121 |  0.086945 |  4.99E-03 |     95.89 | 
|        11 |       666 |  4.34E-02 |  0.896283 |  0.917774 |     26.89 |     23.10 |  0.197390 |  0.146104 |  4.93E-03 |     96.86 | 
|        11 |       740 |  4.21E-02 |  0.870521 |  0.917774 |     26.88 |     23.06 |  0.328606 |  0.250463 |  4.87E-03 |     97.80 | 
|        11 |       814 |  4.13E-02 |  0.879610 |  0.917774 |     26.90 |     23.03 |  0.231284 |  0.117024 |  4.80E-03 |     98.73 | 
|        11 |       823 |  4.11E-02 |  0.880254 |  0.917774 |     26.91 |     23.03 |  0.190918 |  0.147351 |  4.80E-03 |     99.44 | 
|        12 |        74 |  2.83E-02 |  0.861886 |  0.917774 |     26.93 |     22.43 |  0.184250 |  0.133846 |  4.73E-03 |     99.73 | 
|        12 |       148 |  3.17E-02 |  0.869231 |  0.917774 |     27.18 |     22.83 |  0.059117 |  0.044595 |  4.67E-03 |    100.68 | 
|        12 |       222 |  3.14E-02 |  0.859318 |  0.917774 |     27.11 |     22.73 |  0.125588 |  0.091566 |  4.61E-03 |    101.63 | 
|        12 |       296 |  3.03E-02 |  0.878799 |  0.917774 |     27.18 |     22.69 |  0.245079 |  0.179434 |  4.55E-03 |    102.59 | 
|        12 |       370 |  3.03E-02 |  0.859493 |  0.917774 |     27.15 |     22.66 |  0.080989 |  0.059159 |  4.48E-03 |    103.54 | 
|        12 |       444 |  3.04E-02 |  0.899478 |  0.917774 |     27.15 |     22.65 |  0.220880 |  0.165787 |  4.42E-03 |    104.48 | 
|        12 |       518 |  3.04E-02 |  0.880919 |  0.917774 |     27.14 |     22.69 |  0.107231 |  0.078585 |  4.36E-03 |    105.42 | 
|        12 |       592 |  3.01E-02 |  0.885037 |  0.917774 |     27.10 |     22.59 |  0.138069 |  0.104028 |  4.30E-03 |    106.36 | 
|        12 |       666 |  3.03E-02 |  0.905166 |  0.917774 |     27.11 |     22.59 |  0.158960 |  0.116870 |  4.24E-03 |    107.29 | 
|        12 |       740 |  3.13E-02 |  0.896625 |  0.917774 |     27.06 |     22.59 |  0.415731 |  0.297144 |  4.18E-03 |    108.21 | 
|        12 |       814 |  3.45E-02 |  0.898797 |  0.917774 |     27.02 |     22.69 |  0.292904 |  0.215117 |  4.12E-03 |    109.11 | 
|        12 |       823 |  3.45E-02 |  0.886258 |  0.917774 |     27.02 |     22.70 |  0.164806 |  0.118470 |  4.11E-03 |    109.80 | 
|        13 |        74 |  2.75E-02 |  0.876819 |  0.917774 |     27.42 |     22.53 |  0.151735 |  0.110185 |  4.05E-03 |    110.10 | 
|        13 |       148 |  2.84E-02 |  0.891181 |  0.917774 |     27.53 |     22.68 |  0.123363 |  0.094075 |  3.99E-03 |    111.09 | 
|        13 |       222 |  2.85E-02 |  0.883982 |  0.917774 |     27.34 |     22.70 |  0.115702 |  0.052184 |  3.93E-03 |    112.04 | 
|        13 |       296 |  2.85E-02 |  0.867925 |  0.917774 |     27.36 |     22.67 |  0.117307 |  0.070247 |  3.87E-03 |    113.00 | 
|        13 |       370 |  2.88E-02 |  0.851153 |  0.917774 |     27.35 |     22.66 |  0.083455 |  0.060906 |  3.81E-03 |    113.95 | 
|        13 |       444 |  2.79E-02 |  0.860304 |  0.917774 |     27.31 |     22.55 |  0.127497 |  0.094010 |  3.75E-03 |    114.88 | 
|        13 |       518 |  2.78E-02 |  0.861794 |  0.917774 |     27.30 |     22.47 |  0.143649 |  0.104911 |  3.69E-03 |    115.79 | 
|        13 |       592 |  2.78E-02 |  0.864583 |  0.917774 |     27.28 |     22.43 |  0.167457 |  0.103833 |  3.64E-03 |    116.71 | 
|        13 |       666 |  2.77E-02 |  0.861033 |  0.917774 |     27.26 |     22.38 |  0.167696 |  0.123475 |  3.58E-03 |    117.63 | 
|        13 |       740 |  2.76E-02 |  0.868255 |  0.917774 |     27.30 |     22.38 |  0.166083 |  0.121222 |  3.52E-03 |    118.56 | 
|        13 |       814 |  2.79E-02 |  0.872702 |  0.917774 |     27.34 |     22.40 |  0.153148 |  0.112186 |  3.46E-03 |    119.49 | 
|        13 |       823 |  2.79E-02 |  0.878101 |  0.917774 |     27.34 |     22.40 |  0.155976 |  0.087144 |  3.46E-03 |    120.24 | 
|        14 |        74 |  2.69E-02 |  0.845638 |  0.917774 |     27.49 |     22.20 |  0.204895 |  0.149880 |  3.40E-03 |    120.54 | 
|        14 |       148 |  2.56E-02 |  0.857244 |  0.917774 |     27.42 |     22.03 |  0.138196 |  0.101806 |  3.35E-03 |    121.48 | 
