*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Sat Mar  9 09:24:55 2024 
|        10 |       444 |  2.77E-02 |  0.886486 |  0.918230 |     49.99 |     46.39 |  0.096116 |  0.060448 |  5.83E-03 |    125.60 | 
|        10 |       518 |  2.59E-02 |  0.870224 |  0.918230 |     49.99 |     46.32 |  0.130909 |  0.097359 |  5.76E-03 |    127.10 | 
|        10 |       592 |  2.44E-02 |  0.885164 |  0.918230 |     49.99 |     46.28 |  0.078569 |  0.058879 |  5.70E-03 |    128.58 | 
|        10 |       666 |  2.39E-02 |  0.884874 |  0.918230 |     49.99 |     46.33 |  0.149250 |  0.112853 |  5.64E-03 |    130.05 | 
|        10 |       740 |  2.30E-02 |  0.867789 |  0.918230 |     49.99 |     46.50 |  0.134847 |  0.099260 |  5.57E-03 |    131.54 | 
|        10 |       814 |  2.23E-02 |  0.892896 |  0.918230 |     49.99 |     46.60 |  0.126066 |  0.096261 |  5.51E-03 |    133.04 | 
|        10 |       823 |  2.22E-02 |  0.896751 |  0.918230 |     49.99 |     46.63 |  0.168833 |  0.126339 |  5.50E-03 |    134.12 | 
|        11 |        74 |  2.51E-02 |  0.903342 |  0.918230 |     50.00 |     48.36 |  0.107072 |  0.080269 |  5.44E-03 |    134.60 | 
|        11 |       148 |  3.02E-02 |  0.862730 |  0.918230 |     50.00 |     48.26 |  0.280442 |  0.227251 |  5.37E-03 |    136.09 | 
|        11 |       222 |  2.53E-02 |  0.873176 |  0.918230 |     50.00 |     48.59 |  0.117364 |  0.093176 |  5.31E-03 |    137.58 | 
|        11 |       296 |  2.30E-02 |  0.902158 |  0.918230 |     50.00 |     48.85 |  0.046728 |  0.035038 |  5.25E-03 |    139.08 | 
|        11 |       370 |  2.13E-02 |  0.894450 |  0.918230 |     50.00 |     48.95 |  0.111212 |  0.083017 |  5.18E-03 |    140.60 | 
|        11 |       444 |  2.18E-02 |  0.875636 |  0.918230 |     50.00 |     49.06 |  0.238784 |  0.181687 |  5.12E-03 |    142.18 | 
|        11 |       518 |  2.06E-02 |  0.875688 |  0.918230 |     50.00 |     49.04 |  0.039119 |  0.042232 |  5.06E-03 |    143.84 | 
|        11 |       592 |  2.35E-02 |  0.874479 |  0.918230 |     50.00 |     49.06 |  0.335223 |  0.257954 |  4.99E-03 |    145.50 | 
|        11 |       666 |  2.35E-02 |  0.893086 |  0.918230 |     50.00 |     49.16 |  0.205882 |  0.159191 |  4.93E-03 |    147.04 | 
|        11 |       740 |  3.18E-02 |  0.897547 |  0.918230 |     50.00 |     49.22 |  0.239838 |  0.223809 |  4.87E-03 |    148.57 | 
|        11 |       814 |  3.20E-02 |  0.906296 |  0.918230 |     49.99 |     49.21 |  0.387386 |  0.232638 |  4.80E-03 |    150.08 | 
|        11 |       823 |  3.20E-02 |  0.910350 |  0.918230 |     49.99 |     49.20 |  0.150621 |  0.105488 |  4.80E-03 |    151.16 | 
|        12 |        74 |  2.46E-02 |  0.903296 |  0.918230 |     50.00 |     48.99 |  0.142345 |  0.071877 |  4.73E-03 |    151.64 | 
|        12 |       148 |  2.11E-02 |  0.894679 |  0.918230 |     50.00 |     49.26 |  0.138635 |  0.106708 |  4.67E-03 |    153.13 | 
|        12 |       222 |  2.23E-02 |  0.898884 |  0.918230 |     50.00 |     49.19 |  0.208745 |  0.158527 |  4.61E-03 |    154.63 | 
|        12 |       296 |  2.56E-02 |  0.890122 |  0.918230 |     50.00 |     49.30 |  0.102572 |  0.078870 |  4.55E-03 |    156.17 | 
|        12 |       370 |  2.34E-02 |  0.903061 |  0.918230 |     50.00 |     49.42 |  0.116148 |  0.089033 |  4.48E-03 |    157.73 | 
|        12 |       444 |  2.43E-02 |  0.882332 |  0.918230 |     50.00 |     49.49 |  0.097581 |  0.070186 |  4.42E-03 |    159.25 | 
