*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Sat Feb 17 10:12:52 2024 
|        15 |       370 |  1.02E-02 |  0.912638 |  0.948978 |     15.24 |     13.05 |  0.088309 |  0.040640 |  2.36E-03 |     43.26 | 
|        15 |       407 |  1.02E-02 |  0.915643 |  0.948978 |     15.24 |     13.05 |  0.127621 |  0.068312 |  2.32E-03 |     43.54 | 
|        16 |        37 |  1.00E-02 |  0.914573 |  0.948978 |     15.27 |     13.00 |  0.033712 |  0.021197 |  2.27E-03 |     43.64 | 
|        16 |        74 |  9.93E-03 |  0.915144 |  0.948978 |     15.26 |     13.00 |  0.078377 |  0.040868 |  2.23E-03 |     43.92 | 
|        16 |       111 |  1.01E-02 |  0.917343 |  0.948978 |     15.23 |     13.00 |  0.071774 |  0.041521 |  2.19E-03 |     44.20 | 
|        16 |       148 |  9.84E-03 |  0.913641 |  0.948978 |     15.27 |     13.02 |  0.113475 |  0.051265 |  2.14E-03 |     44.49 | 
|        16 |       185 |  9.96E-03 |  0.916466 |  0.948978 |     15.28 |     13.03 |  0.063972 |  0.031909 |  2.10E-03 |     44.77 | 
|        16 |       222 |  1.01E-02 |  0.917593 |  0.948978 |     15.28 |     13.04 |  0.131434 |  0.054817 |  2.06E-03 |     45.06 | 
|        16 |       259 |  1.01E-02 |  0.907717 |  0.948978 |     15.28 |     13.03 |  0.051659 |  0.027246 |  2.02E-03 |     45.34 | 
|        16 |       296 |  1.00E-02 |  0.914004 |  0.948978 |     15.28 |     13.03 |  0.281222 |  0.056858 |  1.98E-03 |     45.62 | 
|        16 |       333 |  9.91E-03 |  0.915814 |  0.948978 |     15.28 |     13.03 |  0.053270 |  0.033364 |  1.94E-03 |     45.91 | 
|        16 |       370 |  9.83E-03 |  0.911117 |  0.948978 |     15.27 |     13.03 |  0.068970 |  0.041461 |  1.90E-03 |     46.19 | 
|        16 |       407 |  9.85E-03 |  0.907957 |  0.948978 |     15.27 |     13.03 |  0.074074 |  0.037903 |  1.86E-03 |     46.48 | 
|        17 |        37 |  9.49E-03 |  0.911984 |  0.948978 |     15.24 |     13.05 |  0.072708 |  0.035921 |  1.82E-03 |     46.57 | 
|        17 |        74 |  9.36E-03 |  0.905617 |  0.948978 |     15.22 |     13.05 |  0.073469 |  0.032151 |  1.79E-03 |     46.86 | 
|        17 |       111 |  9.73E-03 |  0.906206 |  0.948978 |     15.21 |     13.07 |  0.094074 |  0.049032 |  1.75E-03 |     47.14 | 
|        17 |       148 |  9.54E-03 |  0.908236 |  0.948978 |     15.19 |     13.05 |  0.042688 |  0.030860 |  1.72E-03 |     47.42 | 
|        17 |       185 |  9.44E-03 |  0.913455 |  0.948978 |     15.21 |     13.05 |  0.104339 |  0.039402 |  1.68E-03 |     47.71 | 
|        17 |       222 |  9.49E-03 |  0.908539 |  0.948978 |     15.20 |     13.04 |  0.253497 |  0.100158 |  1.65E-03 |     47.99 | 
